id,lambda_h,lambda_a,cs_h_p,cs_a_p
1,1.4036909,0.8170893,0.44171545,0.24568845
2,1.7367566,0.37438577,0.68771154,0.17609061
3,1.3295734,1.2356709,0.29063973,0.2645901
4,1.2216269,1.0292054,0.3572907,0.29475027
5,1.2027148,1.1901343,0.3041804,0.30037764
6,1.1785502,1.0932974,0.3351097,0.30772454
7,0.7655049,1.5337883,0.2157169,0.46509904
8,1.6583897,1.3049319,0.27119103,0.19044541
9,0.68487275,1.6422474,0.19354457,0.5041544
10,2.8323584,0.38093278,0.6832238,0.058873847
11,0.45970306,1.8531827,0.15673754,0.63147116
12,1.1820716,1.2381077,0.2899323,0.30664283
13,1.2498763,4.713493,0.00897338,0.28654027
14,2.2753327,0.52253425,0.5930158,0.102762714
15,1.1875693,0.9080206,0.40332177,0.30496165
16,1.6289552,2.5263062,0.07995381,0.19613437
17,1.5121123,0.9990802,0.36821797,0.22044384
18,0.947889,2.395577,0.09112009,0.3875583
19,1.3243352,1.1720765,0.30972314,0.26597974
20,1.6378841,1.2526973,0.28573304,0.19439092
21,0.5692918,2.4682457,0.084733374,0.56592613
22,1.3197379,1.1146324,0.32803586,0.2672053
23,0.7275867,0.96963334,0.37922207,0.48307338
24,1.8587884,0.8395958,0.43188506,0.15586136
25,2.3940563,1.3261585,0.26549518,0.09125875
26,0.8147601,1.3568163,0.25747922,0.44274554
27,0.810142,1.357729,0.25724432,0.4447949
28,1.2306211,1.571446,0.20774457,0.2921111
29,0.8537322,2.2912896,0.10113596,0.4258227
30,1.9714156,1.1985,0.30164632,0.13925958
31,1.8693085,1.1308846,0.32274762,0.15423027
32,2.6498744,0.54972816,0.57710665,0.070660084
33,2.1931837,0.9476201,0.3876625,0.11156101
34,0.8234545,0.85223776,0.42645952,0.4389128
35,1.5632199,1.7007464,0.18254721,0.20946054
36,1.6952966,1.838585,0.15904231,0.18354477
37,1.1422431,1.2559108,0.28481632,0.31910244
38,1.3861881,1.299122,0.27277118,0.25002658
39,2.5972342,1.3708194,0.2538988,0.07447928
40,1.5095546,1.1017811,0.33227873,0.22100839
41,1.2484413,1.1001186,0.3328316,0.28695172
42,1.0448062,1.6939522,0.18379171,0.35175994
43,0.81474787,2.4206924,0.088860065,0.44275096
44,0.6575793,1.2740747,0.27968964,0.518104
45,3.359101,2.0429194,0.12964967,0.0347665
46,2.321221,1.3318716,0.2639827,0.09815364
47,0.9047591,0.9155904,0.40028024,0.40463936
48,0.9125818,0.71210855,0.4906086,0.40148634
49,1.4175246,1.0116038,0.3636353,0.2423131
50,2.190254,1.5830053,0.20535702,0.11188832
51,2.6607122,1.2156143,0.2965278,0.06989842
52,1.2859703,1.9229854,0.14616992,0.2763823
53,1.80903,0.8914418,0.41006407,0.16381295
54,1.0217016,1.088064,0.33686805,0.35998186
55,1.4702187,0.8372316,0.43290734,0.22987519
